#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,tenant_id,current,current_l1,current_l2,current_l3,energy_kwh,frequency,power,power_factor,voltage,voltage_l
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:15:23Z,device_telemetry,AD00000001,SH00000001,14.408,17.768,13.514,11.766,0,0,8744.425,0,225.83,391.15
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:15:43Z,device_telemetry,AD00000001,SH00000001,14.408,17.768,13.514,11.766,8.9,50.05,8744.425,0.9001,226.07,391.15
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:16:04Z,device_telemetry,AD00000001,SH00000001,14.3,17.658,13.5,11.734,9,50.066,8627.95,0.8972,226.07,391.61
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:16:25Z,device_telemetry,AD00000001,SH00000001,14.3,17.75,13.552,11.786,9,50.066,8627.95,0.8972,226.18,391.65
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:16:45Z,device_telemetry,AD00000001,SH00000001,14.394,17.75,13.552,11.786,9,50.066,8702.49,0.8956,226.18,391.65
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:17:06Z,device_telemetry,AD00000001,SH00000001,14.432,17.802,13.608,11.904,9,50.041,8746.656,0.8993,226.54,392.39
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:17:26Z,device_telemetry,AD00000001,SH00000001,14.432,17.992,13.608,11.904,9.1,50.041,8746.656,0.8993,226.33,392.15
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:17:47Z,device_telemetry,AD00000001,SH00000001,14.542,17.992,13.774,11.952,9.2,50.058,8812.442,0.8995,226.33,392.15
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:18:08Z,device_telemetry,AD00000001,SH00000001,14.708,18.112,13.888,12.132,9.2,50.058,8942.009,0.8995,226.23,391.88
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:18:28Z,device_telemetry,AD00000001,SH00000001,14.708,18.112,13.888,12.132,9.3,50.041,8942.009,0.904,226.24,391.88
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:18:49Z,device_telemetry,AD00000001,SH00000001,14.494,17.924,13.666,11.95,9.4,50.025,8772.621,0.9002,226.24,391.86
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:19:10Z,device_telemetry,AD00000001,SH00000001,14.494,17.944,13.592,11.878,9.4,50.025,8772.621,0.9002,225.74,391.07
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:19:31Z,device_telemetry,AD00000001,SH00000001,14.428,17.944,13.592,11.878,9.4,50.025,8730.464,0.8991,225.74,391.07
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:19:51Z,device_telemetry,AD00000001,SH00000001,14.44,17.824,13.546,11.85,9.4,50.025,8772.504,0.9019,225.82,391.2
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:20:12Z,device_telemetry,AD00000001,SH00000001,14.44,17.952,13.546,11.85,9.5,50.025,8772.504,0.9019,225.61,390.63
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:20:33Z,device_telemetry,AD00000001,SH00000001,14.352,17.952,13.552,11.872,9.6,50.033,8656.859,0.8996,225.61,390.63
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:20:53Z,device_telemetry,AD00000001,SH00000001,14.362,17.848,13.552,11.838,9.6,50.033,8668.187,0.8996,225.42,390.45
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:21:14Z,device_telemetry,AD00000001,SH00000001,14.362,17.848,13.552,11.838,9.7,50.041,8668.187,0.899,225.54,390.45
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:21:34Z,device_telemetry,AD00000001,SH00000001,14.306,17.916,13.434,11.724,9.8,50.025,8623.303,0.8989,225.54,390.57
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:21:55Z,device_telemetry,AD00000001,SH00000001,14.306,17.536,13.332,11.628,9.8,50.025,8623.303,0.8989,225.72,390.91
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:22:16Z,device_telemetry,AD00000001,SH00000001,14.226,17.536,13.332,11.628,9.8,50.041,8588.604,0.8987,225.72,390.91
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:22:36Z,device_telemetry,AD00000001,SH00000001,14.258,17.69,13.362,11.714,9.8,50.033,8600.267,0.8986,225.38,390.43
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:22:57Z,device_telemetry,AD00000001,SH00000001,14.258,17.756,13.362,11.714,9.9,50.033,8600.267,0.8986,225.53,390.56
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:23:18Z,device_telemetry,AD00000001,SH00000001,14.248,17.756,13.362,11.686,10,50.041,8575.445,0.8976,225.53,390.56
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:23:39Z,device_telemetry,AD00000001,SH00000001,14.41,17.904,13.462,11.82,10,50.041,8685.515,0.8976,225.5,390.54
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:23:59Z,device_telemetry,AD00000001,SH00000001,14.41,17.904,13.462,11.82,10.1,50.033,8685.515,0.9011,224.93,390.54
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:24:20Z,device_telemetry,AD00000001,SH00000001,14.414,17.868,13.374,11.77,10.2,50.008,8771.075,0.9051,224.93,389.55
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:24:40Z,device_telemetry,AD00000001,SH00000001,14.414,18.05,13.514,11.906,10.2,50.008,8771.075,0.9051,224.81,389.49
,,0,2026-04-19T18:30:00Z,2026-04-20T18:30:00Z,2026-04-20T10:25:01Z,device_telemetry,AD00000001,SH00000001,14.512,18.05,13.514,11.906,10.2,50.008,8827.916,0.9079,224.81,389.49

